,heap_size,index_size,n_dead_tuples,exec_time
0,1470537728,646643712,0,
1,1483022336,646643712,0,17.83438229560852
2,1491001344,646643712,37420,11.450882196426392
3,1496686592,646643712,76451,9.867594957351685
4,1501347840,646651904,102053,9.395861148834229
5,1505542144,646651904,117042,9.142574787139893
6,1509498880,646651904,128933,9.722497701644897
7,1513340928,646684672,139165,10.274290084838867
8,1517084672,646692864,146606,8.822840929031372
9,1520771072,646692864,154849,10.652704954147339
10,1524408320,646733824,162285,10.627743005752563
11,1527996416,646758400,168120,10.729204893112183
12,1531559936,646799360,174236,11.750642776489258
13,1535074304,646938624,179621,12.208882331848145
14,1538564096,647061504,185176,11.683632135391235
15,1542037504,647168000,189769,12.134914875030518
